"number","machine","item","category","fullname","type"
1,"部品供給","測定値","パレットNo.","sum_equip_item_name - 部品供給_測定値|パレットNo. - value","低濃度値"
1,"部品供給","測定値","品確種別","sum_equip_item_name - 部品供給_測定値|品確種別 - value","低濃度値"
1,"部品供給","OK/NG情報","配膳後ﾁｪｯｸ部配膳ﾁｪｯｸNG","sum_equip_item_name - 部品供給_OK/NG情報||配膳後ﾁｪｯｸ部配膳ﾁｪｯｸNG - value","二値"
1,"部品供給","OK/NG情報","配膳前ﾁｪｯｸ部配膳ﾁｪｯｸNG","sum_equip_item_name - 部品供給_OK/NG情報||配膳前ﾁｪｯｸ部配膳ﾁｪｯｸNG - value","二値"
2,"ピンSA溶接","測定値","パレットNo.","sum_equip_item_name - ピンSA溶接_測定値|パレットNo. - value","低濃度値"
2,"ピンSA溶接","測定値","加工ST","sum_equip_item_name - ピンSA溶接_測定値|加工ST - value","低濃度値"
2,"ピンSA溶接","測定値","溶接電圧No.1","sum_equip_item_name - ピンSA溶接_測定値|溶接電圧No.1 - value","実数値"
2,"ピンSA溶接","測定値","溶接電圧No.2","sum_equip_item_name - ピンSA溶接_測定値|溶接電圧No.2 - value","実数値"
2,"ピンSA溶接","測定値","溶接電流1","sum_equip_item_name - ピンSA溶接_測定値|溶接電流1 - value","低濃度値"
2,"ピンSA溶接","測定値","溶接電圧No.3","sum_equip_item_name - ピンSA溶接_測定値|溶接電圧No.3 - value","実数値"
2,"ピンSA溶接","測定値","溶接電圧No.4","sum_equip_item_name - ピンSA溶接_測定値|溶接電圧No.4 - value","実数値"
2,"ピンSA溶接","測定値","溶接電流2","sum_equip_item_name - ピンSA溶接_測定値|溶接電流2 - value","低濃度値"
2,"ピンSA溶接","測定値","溶接電流3","sum_equip_item_name - ピンSA溶接_測定値|溶接電流3 - value","低濃度値"
2,"ピンSA溶接","測定値","溶接電流4","sum_equip_item_name - ピンSA溶接_測定値|溶接電流4 - value","低濃度値"
2,"ピンSA溶接","測定値","電極使用数","sum_equip_item_name - ピンSA溶接_測定値|電極使用数 - value","整数値"
2,"ピンSA溶接","測定値","ウェルドチェッカ電流1","sum_equip_item_name - ピンSA溶接_測定値|ウェルドチェッカ電流1 - value","低濃度値"
2,"ピンSA溶接","測定値","ウェルドチェッカ電流2","sum_equip_item_name - ピンSA溶接_測定値|ウェルドチェッカ電流2 - value","低濃度値"
2,"ピンSA溶接","測定値","ウェルドチェッカ電流3","sum_equip_item_name - ピンSA溶接_測定値|ウェルドチェッカ電流3 - value","低濃度値"
2,"ピンSA溶接","測定値","ウェルドチェッカ電流4","sum_equip_item_name - ピンSA溶接_測定値|ウェルドチェッカ電流4 - value","低濃度値"
2,"ピンSA溶接","測定値","端子1体積","sum_equip_item_name - ピンSA溶接_測定値|端子1体積 - value","実数値"
2,"ピンSA溶接","測定値","端子1島数","sum_equip_item_name - ピンSA溶接_測定値|端子1島数 - value","低濃度値"
2,"ピンSA溶接","測定値","端子2体積","sum_equip_item_name - ピンSA溶接_測定値|端子2体積 - value","実数値"
2,"ピンSA溶接","測定値","端子2島数","sum_equip_item_name - ピンSA溶接_測定値|端子2島数 - value","低濃度値"
2,"ピンSA溶接","測定値","端子3体積","sum_equip_item_name - ピンSA溶接_測定値|端子3体積 - value","実数値"
2,"ピンSA溶接","測定値","端子3島数","sum_equip_item_name - ピンSA溶接_測定値|端子3島数 - value","低濃度値"
2,"ピンSA溶接","測定値","端子4体積","sum_equip_item_name - ピンSA溶接_測定値|端子4体積 - value","実数値"
2,"ピンSA溶接","測定値","端子4島数","sum_equip_item_name - ピンSA溶接_測定値|端子4島数 - value","低濃度値"
2,"ピンSA溶接","測定値","端子1角刈り長さ","sum_equip_item_name - ピンSA溶接_測定値|端子1角刈り長さ - value","低濃度値"
2,"ピンSA溶接","測定値","端子3角刈り長さ","sum_equip_item_name - ピンSA溶接_測定値|端子3角刈り長さ - value","低濃度値"
2,"ピンSA溶接","測定値","端子2角刈り長さ","sum_equip_item_name - ピンSA溶接_測定値|端子2角刈り長さ - value","低濃度値"
2,"ピンSA溶接","測定値","端子4角刈り長さ","sum_equip_item_name - ピンSA溶接_測定値|端子4角刈り長さ - value","低濃度値"
2,"ピンSA溶接","測定値","端子4くびれ面積","sum_equip_item_name - ピンSA溶接_測定値|端子4くびれ面積 - value","整数値"
2,"ピンSA溶接","測定値","品確種別","sum_equip_item_name - ピンSA溶接_測定値|品確種別 - value","低濃度値"
2,"ピンSA溶接","測定値","端子1くびれ面積","sum_equip_item_name - ピンSA溶接_測定値|端子1くびれ面積 - value","整数値"
2,"ピンSA溶接","測定値","端子3くびれ面積","sum_equip_item_name - ピンSA溶接_測定値|端子3くびれ面積 - value","低濃度値"
2,"ピンSA溶接","測定値","端子2くびれ面積","sum_equip_item_name - ピンSA溶接_測定値|端子2くびれ面積 - value","低濃度値"
2,"ピンSA溶接","OK/NG情報","端子1体積","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子1体積 - value","二値"
2,"ピンSA溶接","OK/NG情報","端子1角刈り長さ","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子1角刈り長さ - value","二値"
2,"ピンSA溶接","OK/NG情報","溶接１ 受信ﾃﾞｰﾀ差 正常範囲外","sum_equip_item_name - ピンSA溶接_OK/NG情報||溶接１ 受信ﾃﾞｰﾀ差 正常範囲外 - value","二値"
2,"ピンSA溶接","OK/NG情報","端子4くびれ面積","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子4くびれ面積 - value","二値"
2,"ピンSA溶接","OK/NG情報","形状計測端子４NG","sum_equip_item_name - ピンSA溶接_OK/NG情報||形状計測端子４NG - value","二値"
2,"ピンSA溶接","OK/NG情報","溶接４ 受信ﾃﾞｰﾀ差 正常範囲外","sum_equip_item_name - ピンSA溶接_OK/NG情報||溶接４ 受信ﾃﾞｰﾀ差 正常範囲外 - value","二値"
2,"ピンSA溶接","OK/NG情報","端子2角刈り長さ","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子2角刈り長さ - value","二値"
2,"ピンSA溶接","OK/NG情報","端子3角刈り長さ","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子3角刈り長さ - value","二値"
2,"ピンSA溶接","OK/NG情報","端子4角刈り長さ","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子4角刈り長さ - value","二値"
2,"ピンSA溶接","OK/NG情報","溶接２ 受信ﾃﾞｰﾀ差 正常範囲外","sum_equip_item_name - ピンSA溶接_OK/NG情報||溶接２ 受信ﾃﾞｰﾀ差 正常範囲外 - value","二値"
2,"ピンSA溶接","OK/NG情報","溶接３ 受信ﾃﾞｰﾀ差 正常範囲外","sum_equip_item_name - ピンSA溶接_OK/NG情報||溶接３ 受信ﾃﾞｰﾀ差 正常範囲外 - value","二値"
2,"ピンSA溶接","OK/NG情報","形状計測端子２NG","sum_equip_item_name - ピンSA溶接_OK/NG情報||形状計測端子２NG - value","二値"
2,"ピンSA溶接","OK/NG情報","端子2くびれ面積","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子2くびれ面積 - value","二値"
2,"ピンSA溶接","OK/NG情報","端子2体積","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子2体積 - value","二値"
2,"ピンSA溶接","OK/NG情報","形状計測端子１NG","sum_equip_item_name - ピンSA溶接_OK/NG情報||形状計測端子１NG - value","二値"
2,"ピンSA溶接","OK/NG情報","端子4体積","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子4体積 - value","二値"
2,"ピンSA溶接","OK/NG情報","端子1くびれ面積","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子1くびれ面積 - value","二値"
2,"ピンSA溶接","OK/NG情報","形状計測端子３NG","sum_equip_item_name - ピンSA溶接_OK/NG情報||形状計測端子３NG - value","二値"
2,"ピンSA溶接","OK/NG情報","端子3くびれ面積","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子3くびれ面積 - value","二値"
2,"ピンSA溶接","OK/NG情報","端子3体積","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子3体積 - value","二値"
2,"ピンSA溶接","OK/NG情報","端子4島数","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子4島数 - value","二値"
2,"ピンSA溶接","OK/NG情報","端子2島数","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子2島数 - value","二値"
2,"ピンSA溶接","OK/NG情報","端子3島数","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子3島数 - value","二値"
2,"ピンSA溶接","OK/NG情報","端子1島数","sum_equip_item_name - ピンSA溶接_OK/NG情報||端子1島数 - value","二値"
2,"ピンSA溶接","OK/NG情報","視覚処理異常","sum_equip_item_name - ピンSA溶接_OK/NG情報||視覚処理異常 - value","二値"
2,"ピンSA溶接","OK/NG情報","溶接２ 溶接電源NG","sum_equip_item_name - ピンSA溶接_OK/NG情報||溶接２ 溶接電源NG - value","二値"
2,"ピンSA溶接","OK/NG情報","溶接１ 溶接電源NG","sum_equip_item_name - ピンSA溶接_OK/NG情報||溶接１ 溶接電源NG - value","二値"
2,"ピンSA溶接","OK/NG情報","溶接３ 溶接電源NG","sum_equip_item_name - ピンSA溶接_OK/NG情報||溶接３ 溶接電源NG - value","二値"
3,"部品組付","測定値","パレットNo.","sum_equip_item_name - 部品組付_測定値|パレットNo. - value","低濃度値"
3,"部品組付","測定値","ケース挿入荷重","sum_equip_item_name - 部品組付_測定値|ケース挿入荷重 - value","実数値"
3,"部品組付","測定値","コイル挿入高さ","sum_equip_item_name - 部品組付_測定値|コイル挿入高さ - value","実数値"
3,"部品組付","測定値","コイル挿入荷重","sum_equip_item_name - 部品組付_測定値|コイル挿入荷重 - value","実数値"
3,"部品組付","測定値","加工ST","sum_equip_item_name - 部品組付_測定値|加工ST - value","低濃度値"
3,"部品組付","測定値","Oﾘﾝｸﾞ塗布流量","sum_equip_item_name - 部品組付_測定値|Oﾘﾝｸﾞ塗布流量 - value","低濃度値"
3,"部品組付","測定値","締付回転数","sum_equip_item_name - 部品組付_測定値|締付回転数 - value","整数値"
3,"部品組付","測定値","締付トルク","sum_equip_item_name - 部品組付_測定値|締付トルク - value","低濃度値"
3,"部品組付","測定値","ネジ締め高さ","sum_equip_item_name - 部品組付_測定値|ネジ締め高さ - value","高濃度(数値系）"
3,"部品組付","測定値","ケース挿入高さ","sum_equip_item_name - 部品組付_測定値|ケース挿入高さ - value","実数値"
3,"部品組付","測定値","品確種別","sum_equip_item_name - 部品組付_測定値|品確種別 - value","低濃度値"
3,"部品組付","OK/NG情報","ねじ締めNG","sum_equip_item_name - 部品組付_OK/NG情報||ねじ締めNG - value","二値"
3,"部品組付","OK/NG情報","Oﾘﾝｸﾞ組付NG","sum_equip_item_name - 部品組付_OK/NG情報||Oﾘﾝｸﾞ組付NG - value","二値"
3,"部品組付","OK/NG情報","QR刻印NG","sum_equip_item_name - 部品組付_OK/NG情報||QR刻印NG - value","二値"
3,"部品組付","OK/NG情報","QR読取NG","sum_equip_item_name - 部品組付_OK/NG情報||QR読取NG - value","二値"
3,"部品組付","OK/NG情報","ｺｲﾙ挿入ｻｰﾎﾞﾌﾟﾚｽNG","sum_equip_item_name - 部品組付_OK/NG情報||ｺｲﾙ挿入ｻｰﾎﾞﾌﾟﾚｽNG - value","二値"
5,"熱かしめ","測定値","パレットNo.","sum_equip_item_name - 熱かしめ_測定値|パレットNo. - value","低濃度値"
5,"熱かしめ","測定値","コイルかしめ前高さNo.1","sum_equip_item_name - 熱かしめ_測定値|コイルかしめ前高さNo.1 - value","実数値"
5,"熱かしめ","測定値","コイルかしめ前高さNo.2","sum_equip_item_name - 熱かしめ_測定値|コイルかしめ前高さNo.2 - value","実数値"
5,"熱かしめ","測定値","コイルかしめ前高さNo.3","sum_equip_item_name - 熱かしめ_測定値|コイルかしめ前高さNo.3 - value","実数値"
5,"熱かしめ","測定値","コイルかしめ前高さNo.4","sum_equip_item_name - 熱かしめ_測定値|コイルかしめ前高さNo.4 - value","実数値"
5,"熱かしめ","測定値","コイル熱かしめ再加熱温度1","sum_equip_item_name - 熱かしめ_測定値|コイル熱かしめ再加熱温度1 - value","低濃度値"
5,"熱かしめ","測定値","コイル熱かしめ再加熱温度2","sum_equip_item_name - 熱かしめ_測定値|コイル熱かしめ再加熱温度2 - value","低濃度値"
5,"熱かしめ","測定値","コイル熱かしめ再加熱温度3","sum_equip_item_name - 熱かしめ_測定値|コイル熱かしめ再加熱温度3 - value","低濃度値"
5,"熱かしめ","測定値","コイル熱かしめ再加熱温度4","sum_equip_item_name - 熱かしめ_測定値|コイル熱かしめ再加熱温度4 - value","低濃度値"
5,"熱かしめ","測定値","コイル熱かしめ温度1","sum_equip_item_name - 熱かしめ_測定値|コイル熱かしめ温度1 - value","低濃度値"
5,"熱かしめ","測定値","コイル熱かしめ温度2","sum_equip_item_name - 熱かしめ_測定値|コイル熱かしめ温度2 - value","低濃度値"
5,"熱かしめ","測定値","コイル熱かしめ温度3","sum_equip_item_name - 熱かしめ_測定値|コイル熱かしめ温度3 - value","低濃度値"
5,"熱かしめ","測定値","コイル熱かしめ温度4","sum_equip_item_name - 熱かしめ_測定値|コイル熱かしめ温度4 - value","低濃度値"
5,"熱かしめ","測定値","コイルかしめ後高さNo.1","sum_equip_item_name - 熱かしめ_測定値|コイルかしめ後高さNo.1 - value","実数値"
5,"熱かしめ","測定値","コイルかしめ後高さNo.2","sum_equip_item_name - 熱かしめ_測定値|コイルかしめ後高さNo.2 - value","実数値"
5,"熱かしめ","測定値","コイルかしめ後高さNo.3","sum_equip_item_name - 熱かしめ_測定値|コイルかしめ後高さNo.3 - value","実数値"
5,"熱かしめ","測定値","コイルかしめ後高さNo.4","sum_equip_item_name - 熱かしめ_測定値|コイルかしめ後高さNo.4 - value","実数値"
5,"熱かしめ","測定値","コイル熱かしめ高さ1","sum_equip_item_name - 熱かしめ_測定値|コイル熱かしめ高さ1 - value","実数値"
5,"熱かしめ","測定値","コイル熱かしめ高さ2","sum_equip_item_name - 熱かしめ_測定値|コイル熱かしめ高さ2 - value","実数値"
5,"熱かしめ","測定値","コイル熱かしめ高さ3","sum_equip_item_name - 熱かしめ_測定値|コイル熱かしめ高さ3 - value","実数値"
5,"熱かしめ","測定値","コイル熱かしめ高さ4","sum_equip_item_name - 熱かしめ_測定値|コイル熱かしめ高さ4 - value","実数値"
5,"熱かしめ","測定値","基板かしめ前高さNo.1","sum_equip_item_name - 熱かしめ_測定値|基板かしめ前高さNo.1 - value","実数値"
5,"熱かしめ","測定値","基板かしめ前高さNo.2","sum_equip_item_name - 熱かしめ_測定値|基板かしめ前高さNo.2 - value","実数値"
5,"熱かしめ","測定値","基板かしめ前高さNo.3","sum_equip_item_name - 熱かしめ_測定値|基板かしめ前高さNo.3 - value","実数値"
5,"熱かしめ","測定値","基板かしめ前高さNo.4","sum_equip_item_name - 熱かしめ_測定値|基板かしめ前高さNo.4 - value","実数値"
5,"熱かしめ","測定値","基板かしめ後高さNo.1","sum_equip_item_name - 熱かしめ_測定値|基板かしめ後高さNo.1 - value","実数値"
5,"熱かしめ","測定値","基板かしめ後高さNo.2","sum_equip_item_name - 熱かしめ_測定値|基板かしめ後高さNo.2 - value","実数値"
5,"熱かしめ","測定値","基板かしめ後高さNo.3","sum_equip_item_name - 熱かしめ_測定値|基板かしめ後高さNo.3 - value","実数値"
5,"熱かしめ","測定値","基板かしめ後高さNo.4","sum_equip_item_name - 熱かしめ_測定値|基板かしめ後高さNo.4 - value","実数値"
5,"熱かしめ","測定値","基板熱かしめ再加熱温度1","sum_equip_item_name - 熱かしめ_測定値|基板熱かしめ再加熱温度1 - value","低濃度値"
5,"熱かしめ","測定値","基板熱かしめ再加熱温度2","sum_equip_item_name - 熱かしめ_測定値|基板熱かしめ再加熱温度2 - value","低濃度値"
5,"熱かしめ","測定値","基板熱かしめ再加熱温度3","sum_equip_item_name - 熱かしめ_測定値|基板熱かしめ再加熱温度3 - value","低濃度値"
5,"熱かしめ","測定値","基板熱かしめ再加熱温度4","sum_equip_item_name - 熱かしめ_測定値|基板熱かしめ再加熱温度4 - value","低濃度値"
5,"熱かしめ","測定値","基板熱かしめ温度1","sum_equip_item_name - 熱かしめ_測定値|基板熱かしめ温度1 - value","低濃度値"
5,"熱かしめ","測定値","基板熱かしめ温度2","sum_equip_item_name - 熱かしめ_測定値|基板熱かしめ温度2 - value","低濃度値"
5,"熱かしめ","測定値","基板熱かしめ温度3","sum_equip_item_name - 熱かしめ_測定値|基板熱かしめ温度3 - value","低濃度値"
5,"熱かしめ","測定値","基板熱かしめ温度4","sum_equip_item_name - 熱かしめ_測定値|基板熱かしめ温度4 - value","低濃度値"
5,"熱かしめ","測定値","基板熱かしめ高さ1","sum_equip_item_name - 熱かしめ_測定値|基板熱かしめ高さ1 - value","実数値"
5,"熱かしめ","測定値","基板熱かしめ高さ2","sum_equip_item_name - 熱かしめ_測定値|基板熱かしめ高さ2 - value","実数値"
5,"熱かしめ","測定値","基板熱かしめ高さ3","sum_equip_item_name - 熱かしめ_測定値|基板熱かしめ高さ3 - value","実数値"
5,"熱かしめ","測定値","基板熱かしめ高さ4","sum_equip_item_name - 熱かしめ_測定値|基板熱かしめ高さ4 - value","実数値"
5,"熱かしめ","測定値","品確種別","sum_equip_item_name - 熱かしめ_測定値|品確種別 - value","低濃度値"
5,"熱かしめ","OK/NG情報","ﾎｰﾙIC組付NG","sum_equip_item_name - 熱かしめ_OK/NG情報||ﾎｰﾙIC組付NG - value","二値"
5,"熱かしめ","OK/NG情報","基板熱かしめ前高さﾁｪｯｸNG","sum_equip_item_name - 熱かしめ_OK/NG情報||基板熱かしめ前高さﾁｪｯｸNG - value","二値"
5,"熱かしめ","OK/NG情報","基板書込NG","sum_equip_item_name - 熱かしめ_OK/NG情報||基板書込NG - value","二値"
5,"熱かしめ","OK/NG情報","ｺｲﾙ熱かしめ前高さﾁｪｯｸNG","sum_equip_item_name - 熱かしめ_OK/NG情報||ｺｲﾙ熱かしめ前高さﾁｪｯｸNG - value","二値"
5,"熱かしめ","OK/NG情報","基板かしめ高さNG-R","sum_equip_item_name - 熱かしめ_OK/NG情報||基板かしめ高さNG-R - value","二値"
5,"熱かしめ","OK/NG情報","ｺｲﾙかしめ異常","sum_equip_item_name - 熱かしめ_OK/NG情報||ｺｲﾙかしめ異常 - value","二値"
5,"熱かしめ","OK/NG情報","基板かしめ高さNG-R","sum_equip_item_name - 熱かしめ_OK/NG情報||基板かしめ高さNG-R - value","二値"
6,"はんだ付","測定値","パレットNo.","sum_equip_item_name - はんだ付_測定値|パレットNo. - value","低濃度値"
6,"はんだ付","測定値","コイル端子スリーブ使用名称","sum_equip_item_name - はんだ付_測定値|コイル端子スリーブ使用名称 - value","低濃度値"
6,"はんだ付","測定値","コイル端子ドリル後スリーブ使用数","sum_equip_item_name - はんだ付_測定値|コイル端子ドリル後スリーブ使用数 - value","整数値"
6,"はんだ付","測定値","コイル端子燃焼後スリーブ使用数","sum_equip_item_name - はんだ付_測定値|コイル端子燃焼後スリーブ使用数 - value","整数値"
6,"はんだ付","測定値","コイル端子スリーブ温度","sum_equip_item_name - はんだ付_測定値|コイル端子スリーブ温度 - value","実数値"
6,"はんだ付","測定値","コイル端子位置座標X1","sum_equip_item_name - はんだ付_測定値|コイル端子位置座標X1 - value","実数値"
6,"はんだ付","測定値","コイル端子位置座標X2","sum_equip_item_name - はんだ付_測定値|コイル端子位置座標X2 - value","実数値"
6,"はんだ付","測定値","コイル端子位置座標Y1","sum_equip_item_name - はんだ付_測定値|コイル端子位置座標Y1 - value","実数値"
6,"はんだ付","測定値","コイル端子位置座標Y2","sum_equip_item_name - はんだ付_測定値|コイル端子位置座標Y2 - value","実数値"
6,"はんだ付","測定値","コイル端子位置座標X3","sum_equip_item_name - はんだ付_測定値|コイル端子位置座標X3 - value","実数値"
